,0,1,2,3
0,HONOR 9X - 6.59 FullView Display - 6GB RAM & 128GB ROM - 16MP Pop Up Camera - 48MP AI Triple Camera,Brand: HonorMore Mobiles from Honor,"Rs. 38,999","                Mobiles & Tablets Mobiles HONOR 9X - 6.59 FullView Display - 6GB RAM & 128GB ROM - 16MP Pop Up Camera - 48MP AI Triple Camera 1-Year Brand Warranty (Inovi Technologies)
Screen: 6.59 inches, LCD Capacitive Touchscreen,1080 x 2340 Pixels
Processor: Octa-core (4 x 2.2 GHzCortex-A73 + 4 x 1.7 GHz Cortex-A53)
Memory: 6GB RAM, 128GB ROM
Camera: Triple Camera: 48 MP - 16 MP (Motorized pop-up camera )
Battery: Non-removable Li-Po 4000mAh
OS: Android 9.0 Pie
SIM: Dual Sim, Dual Standby (Nano-SIM)  29
1
1
2
3 Help Center
How to Buy
Corporate & Bulk Purchasing
Returns & Refunds
Daraz Shop
Contact Us
Purchase Protection
Daraz Pick up Points
Fulfilled by Daraz (FBD) Daraz University
Sell on Daraz
Join Daraz Affiliate Program  About Us
Digital Payments
Daraz Cares
Daraz Blog
Terms & Conditions
Privacy Policy
NTN Number : 4012118-6
STRN Number : 1700401211818
Online Shopping App
Online Grocery Shopping
Daraz Exclusive
How to shop on Daraz
Pak Vs Aus
Ramadan Daraz Se"
1,HONOR 9X - 6.59 FullView Display - 6GB RAM & 128GB ROM - 16MP Pop Up Camera - 48MP AI Triple Camera,Brand: HonorMore Mobiles from Honor,"Rs. 38,999","                Mobiles & Tablets Mobiles HONOR 9X - 6.59 FullView Display - 6GB RAM & 128GB ROM - 16MP Pop Up Camera - 48MP AI Triple Camera Help Center
How to Buy
Corporate & Bulk Purchasing
Returns & Refunds
Daraz Shop
Contact Us
Purchase Protection
Daraz Pick up Points
Fulfilled by Daraz (FBD) Daraz University
Sell on Daraz
Join Daraz Affiliate Program  About Us
Digital Payments
Daraz Cares
Daraz Blog
Terms & Conditions
Privacy Policy
NTN Number : 4012118-6
STRN Number : 1700401211818
Online Shopping App
Online Grocery Shopping
Daraz Exclusive
How to shop on Daraz
Pak Vs Aus
Ramadan Daraz Se"
2,HONOR 9X - 6.59 FullView Display - 6GB RAM & 128GB ROM - 16MP Pop Up Camera - 48MP AI Triple Camera,Brand: HonorMore Mobiles from Honor,"Rs. 38,999","                Mobiles & Tablets Mobiles HONOR 9X - 6.59 FullView Display - 6GB RAM & 128GB ROM - 16MP Pop Up Camera - 48MP AI Triple Camera Help Center
How to Buy
Corporate & Bulk Purchasing
Returns & Refunds
Daraz Shop
Contact Us
Purchase Protection
Daraz Pick up Points
Fulfilled by Daraz (FBD) Daraz University
Sell on Daraz
Join Daraz Affiliate Program  About Us
Digital Payments
Daraz Cares
Daraz Blog
Terms & Conditions
Privacy Policy
NTN Number : 4012118-6
STRN Number : 1700401211818
Online Shopping App
Online Grocery Shopping
Daraz Exclusive
How to shop on Daraz
Pak Vs Aus
Ramadan Daraz Se"
3,"Honor 7C - 5.9"" FHD Display - 3GB RAM - 32GB ROM - Fingerprint Sensor & Face Unlock",Brand: HonorMore Mobiles from Honor,"Rs. 24,999","                Mobiles & Tablets Mobiles Honor 7C - 5.9"" FHD Display - 3GB RAM - 32GB ROM - Fingerprint Sensor & Face Unlock Help Center
How to Buy
Corporate & Bulk Purchasing
Returns & Refunds
Daraz Shop
Contact Us
Purchase Protection
Daraz Pick up Points
Fulfilled by Daraz (FBD) Daraz University
Sell on Daraz
Join Daraz Affiliate Program  About Us
Digital Payments
Daraz Cares
Daraz Blog
Terms & Conditions
Privacy Policy
NTN Number : 4012118-6
STRN Number : 1700401211818
Online Shopping App
Online Grocery Shopping
Daraz Exclusive
How to shop on Daraz
Pak Vs Aus
Ramadan Daraz Se"
4,"Honor 7C - 5.9"" FHD Display - 3GB RAM - 32GB ROM - Fingerprint Sensor & Face Unlock",Brand: HonorMore Mobiles from Honor,"Rs. 24,999","                Mobiles & Tablets Mobiles Honor 7C - 5.9"" FHD Display - 3GB RAM - 32GB ROM - Fingerprint Sensor & Face Unlock Help Center
How to Buy
Corporate & Bulk Purchasing
Returns & Refunds
Daraz Shop
Contact Us
Purchase Protection
Daraz Pick up Points
Fulfilled by Daraz (FBD) Daraz University
Sell on Daraz
Join Daraz Affiliate Program  About Us
Digital Payments
Daraz Cares
Daraz Blog
Terms & Conditions
Privacy Policy
NTN Number : 4012118-6
STRN Number : 1700401211818
Online Shopping App
Online Grocery Shopping
Daraz Exclusive
How to shop on Daraz
Pak Vs Aus
Ramadan Daraz Se"
5,"Honor 7C - 5.9"" FHD Display - 3GB RAM - 32GB ROM - Fingerprint Sensor & Face Unlock",Brand: HonorMore Mobiles from Honor,"Rs. 24,999","                Mobiles & Tablets Mobiles Honor 7C - 5.9"" FHD Display - 3GB RAM - 32GB ROM - Fingerprint Sensor & Face Unlock Help Center
How to Buy
Corporate & Bulk Purchasing
Returns & Refunds
Daraz Shop
Contact Us
Purchase Protection
Daraz Pick up Points
Fulfilled by Daraz (FBD) Daraz University
Sell on Daraz
Join Daraz Affiliate Program  About Us
Digital Payments
Daraz Cares
Daraz Blog
Terms & Conditions
Privacy Policy
NTN Number : 4012118-6
STRN Number : 1700401211818
Online Shopping App
Online Grocery Shopping
Daraz Exclusive
How to shop on Daraz
Pak Vs Aus
Ramadan Daraz Se"
6,"HONOR 9X Lite - 6.5"" FHD Display - 4GB RAM - 128GB ROM - Fingerprint Sensor - With FREE Gift Box",Brand: HonorMore Mobiles from Honor,"Rs. 27,499
Rs. 29,999-8%","                Mobiles & Tablets Mobiles HONOR 9X Lite - 6.5"" FHD Display - 4GB RAM - 128GB ROM - Fingerprint Sensor - With FREE Gift Box Help Center
How to Buy
Corporate & Bulk Purchasing
Returns & Refunds
Daraz Shop
Contact Us
Purchase Protection
Daraz Pick up Points
Fulfilled by Daraz (FBD) Daraz University
Sell on Daraz
Join Daraz Affiliate Program  About Us
Digital Payments
Daraz Cares
Daraz Blog
Terms & Conditions
Privacy Policy
NTN Number : 4012118-6
STRN Number : 1700401211818
Online Shopping App
Online Grocery Shopping
Daraz Exclusive
How to shop on Daraz
Pak Vs Aus
Ramadan Daraz Se"
7,"HONOR 9X Lite - 6.5"" FHD Display - 4GB RAM - 128GB ROM - Fingerprint Sensor - With FREE Gift Box",Brand: HonorMore Mobiles from Honor,"Rs. 27,499
Rs. 29,999-8%","                Mobiles & Tablets Mobiles HONOR 9X Lite - 6.5"" FHD Display - 4GB RAM - 128GB ROM - Fingerprint Sensor - With FREE Gift Box Help Center
How to Buy
Corporate & Bulk Purchasing
Returns & Refunds
Daraz Shop
Contact Us
Purchase Protection
Daraz Pick up Points
Fulfilled by Daraz (FBD) Daraz University
Sell on Daraz
Join Daraz Affiliate Program  About Us
Digital Payments
Daraz Cares
Daraz Blog
Terms & Conditions
Privacy Policy
NTN Number : 4012118-6
STRN Number : 1700401211818
Online Shopping App
Online Grocery Shopping
Daraz Exclusive
How to shop on Daraz
Pak Vs Aus
Ramadan Daraz Se"
8,"HONOR 9X Lite - 6.5"" FHD Display - 4GB RAM - 128GB ROM - Fingerprint Sensor - With FREE Gift Box",Brand: HonorMore Mobiles from Honor,"Rs. 27,499
Rs. 29,999-8%","                Mobiles & Tablets Mobiles HONOR 9X Lite - 6.5"" FHD Display - 4GB RAM - 128GB ROM - Fingerprint Sensor - With FREE Gift Box Help Center
How to Buy
Corporate & Bulk Purchasing
Returns & Refunds
Daraz Shop
Contact Us
Purchase Protection
Daraz Pick up Points
Fulfilled by Daraz (FBD) Daraz University
Sell on Daraz
Join Daraz Affiliate Program  About Us
Digital Payments
Daraz Cares
Daraz Blog
Terms & Conditions
Privacy Policy
NTN Number : 4012118-6
STRN Number : 1700401211818
Online Shopping App
Online Grocery Shopping
Daraz Exclusive
How to shop on Daraz
Pak Vs Aus
Ramadan Daraz Se"
9,HONOR 10i - 6GB RAM 128GB ROM - 32MP Selfie Camera - Triple Back Camera,Brand: HonorMore Mobiles from Honor,"Rs. 27,499
Rs. 36,999-26%","                Mobiles & Tablets Mobiles HONOR 10i - 6GB RAM 128GB ROM - 32MP Selfie Camera - Triple Back Camera Help Center
How to Buy
Corporate & Bulk Purchasing
Returns & Refunds
Daraz Shop
Contact Us
Purchase Protection
Daraz Pick up Points
Fulfilled by Daraz (FBD) Daraz University
Sell on Daraz
Join Daraz Affiliate Program  About Us
Digital Payments
Daraz Cares
Daraz Blog
Terms & Conditions
Privacy Policy
NTN Number : 4012118-6
STRN Number : 1700401211818
Online Shopping App
Online Grocery Shopping
Daraz Exclusive
How to shop on Daraz
Pak Vs Aus
Ramadan Daraz Se"
