,0,1,2,3
0,Dell Latitude E5450 Intel Core 5th Generation i5 i5-5300U 8GB DDR3L 500GB 7200RPM HDD Webcam Windows 10 Pro,"Brand: DellMore Refurbished from Dell
Free Shipping","Rs. 42,000
Rs. 60,000-30%","                Computers & Laptops Refurbished Refurbished Laptops Dell Latitude E5450 Intel Core 5th Generation i5 i5-5300U 8GB DDR3L 500GB 7200RPM HDD Webcam Windows 10 Pro Help Center
How to Buy
Corporate & Bulk Purchasing
Returns & Refunds
Daraz Shop
Contact Us
Purchase Protection
Daraz Pick up Points
Fulfilled by Daraz (FBD) Daraz University
Sell on Daraz
Join Daraz Affiliate Program  About Us
Digital Payments
Daraz Cares
Daraz Blog
Terms & Conditions
Privacy Policy
NTN Number : 4012118-6
STRN Number : 1700401211818
Online Shopping App
Online Grocery Shopping
Daraz Exclusive
How to shop on Daraz
Pak Vs Aus
Ramadan Daraz Se"
1,Dell Latitude E5450 Intel Core 5th Generation i5 i5-5300U 8GB DDR3L 500GB 7200RPM HDD Webcam Windows 10 Pro,"Brand: DellMore Refurbished from Dell
Free Shipping","Rs. 42,000
Rs. 60,000-30%","                Computers & Laptops Refurbished Refurbished Laptops Dell Latitude E5450 Intel Core 5th Generation i5 i5-5300U 8GB DDR3L 500GB 7200RPM HDD Webcam Windows 10 Pro Help Center
How to Buy
Corporate & Bulk Purchasing
Returns & Refunds
Daraz Shop
Contact Us
Purchase Protection
Daraz Pick up Points
Fulfilled by Daraz (FBD) Daraz University
Sell on Daraz
Join Daraz Affiliate Program  About Us
Digital Payments
Daraz Cares
Daraz Blog
Terms & Conditions
Privacy Policy
NTN Number : 4012118-6
STRN Number : 1700401211818
Online Shopping App
Online Grocery Shopping
Daraz Exclusive
How to shop on Daraz
Pak Vs Aus
Ramadan Daraz Se"
2,"HP EliteBook 840 G3 Laptop - 14 , Intel Core i5-6200U 6th GEN , 256 M.2 SSD + 500GB HDD, 8GB DDR4 RAM Win 10 Pro","Brand: HPMore Refurbished from HP
Free Shipping","Rs. 61,000
Rs. 80,000-24%","                Computers & Laptops Refurbished Refurbished Laptops HP EliteBook 840 G3 Laptop - 14 , Intel Core i5-6200U 6th GEN , 256 M.2 SSD + 500GB HDD, 8GB DDR4 RAM Win 10 Pro Intel i5-6200U (2.3GHz up to 2.8GHz) 3MB Cache
Intel HD Graphics 520, 8GB RAM, 250GB M.2Solid State Drive or 500GB HDD
14-inch LED Display (1920x1080) 720p HD Webcam
Backlit Keyboard, Media Card Reader, External SIM
3-Cell Battery up to 9 Hours, Windows 7 Pro 64-bit Packaged Quantity
1
Embedded Security
Trusted Platform Module (TPM 1.2) Security Chip
Operating System
Microsoft Windows 10 Professional 64-bit Edition (available through downgrade rights from Windows 10 Pro 64-bit) + Windows 10 Pro 64-bit License
Manufacturer
HP CPU
Intel Core i5 (6th Gen) 6200U / 2.3 GHz
Max Turbo Speed
2.8 GHz
Number of Cores
Dual-Core
Cache
3 MB
64-bit Computing
Yes
Features
Hyper-Threading Technology, Intel Smart Cache, Intel Turbo Boost Technology 2.0                         Help Center
How to Buy
Corporate & Bulk Purchasing
Returns & Refunds
Daraz Shop
Contact Us
Purchase Protection
Daraz Pick up Points
Fulfilled by Daraz (FBD) Daraz University
Sell on Daraz
Join Daraz Affiliate Program  About Us
Digital Payments
Daraz Cares
Daraz Blog
Terms & Conditions
Privacy Policy
NTN Number : 4012118-6
STRN Number : 1700401211818
Online Shopping App
Online Grocery Shopping
Daraz Exclusive
How to shop on Daraz
Pak Vs Aus
Ramadan Daraz Se"
3,"HP EliteBook 840 G3 Laptop - 14 , Intel Core i5-6200U 6th GEN , 256 M.2 SSD + 500GB HDD, 8GB DDR4 RAM Win 10 Pro","Brand: HPMore Refurbished from HP
Free Shipping","Rs. 61,000
Rs. 80,000-24%","                Computers & Laptops Refurbished Refurbished Laptops HP EliteBook 840 G3 Laptop - 14 , Intel Core i5-6200U 6th GEN , 256 M.2 SSD + 500GB HDD, 8GB DDR4 RAM Win 10 Pro Help Center
How to Buy
Corporate & Bulk Purchasing
Returns & Refunds
Daraz Shop
Contact Us
Purchase Protection
Daraz Pick up Points
Fulfilled by Daraz (FBD) Daraz University
Sell on Daraz
Join Daraz Affiliate Program  About Us
Digital Payments
Daraz Cares
Daraz Blog
Terms & Conditions
Privacy Policy
NTN Number : 4012118-6
STRN Number : 1700401211818
Online Shopping App
Online Grocery Shopping
Daraz Exclusive
How to shop on Daraz
Pak Vs Aus
Ramadan Daraz Se"
4,HP 255 G4 AMD A6 6th Gen 4GB Ram 500 GB Hard Drive A-Plus Condition,Brand: No BrandMore Refurbished from No Brand,"Rs. 31,999
Rs. 38,000-16%","                Computers & Laptops Refurbished Refurbished Laptops HP 255 G4 AMD A6 6th Gen 4GB Ram 500 GB Hard Drive A-Plus Condition Help Center
How to Buy
Corporate & Bulk Purchasing
Returns & Refunds
Daraz Shop
Contact Us
Purchase Protection
Daraz Pick up Points
Fulfilled by Daraz (FBD) Daraz University
Sell on Daraz
Join Daraz Affiliate Program  About Us
Digital Payments
Daraz Cares
Daraz Blog
Terms & Conditions
Privacy Policy
NTN Number : 4012118-6
STRN Number : 1700401211818
Online Shopping App
Online Grocery Shopping
Daraz Exclusive
How to shop on Daraz
Pak Vs Aus
Ramadan Daraz Se"
5,HP 255 G4 AMD A6 6th Gen 4GB Ram 500 GB Hard Drive A-Plus Condition,Brand: No BrandMore Refurbished from No Brand,"Rs. 31,999
Rs. 38,000-16%","                Computers & Laptops Refurbished Refurbished Laptops HP 255 G4 AMD A6 6th Gen 4GB Ram 500 GB Hard Drive A-Plus Condition Help Center
How to Buy
Corporate & Bulk Purchasing
Returns & Refunds
Daraz Shop
Contact Us
Purchase Protection
Daraz Pick up Points
Fulfilled by Daraz (FBD) Daraz University
Sell on Daraz
Join Daraz Affiliate Program  About Us
Digital Payments
Daraz Cares
Daraz Blog
Terms & Conditions
Privacy Policy
NTN Number : 4012118-6
STRN Number : 1700401211818
Online Shopping App
Online Grocery Shopping
Daraz Exclusive
How to shop on Daraz
Pak Vs Aus
Ramadan Daraz Se"
6,"Core 2 Due Mixed laptop ,4Gb ram 250 GB Hard drive",Brand: No BrandMore Refurbished from No Brand,"Rs. 16,000
Rs. 20,000-20%","                Computers & Laptops Refurbished Refurbished Laptops Core 2 Due Mixed laptop ,4Gb ram 250 GB Hard drive Help Center
How to Buy
Corporate & Bulk Purchasing
Returns & Refunds
Daraz Shop
Contact Us
Purchase Protection
Daraz Pick up Points
Fulfilled by Daraz (FBD) Daraz University
Sell on Daraz
Join Daraz Affiliate Program  About Us
Digital Payments
Daraz Cares
Daraz Blog
Terms & Conditions
Privacy Policy
NTN Number : 4012118-6
STRN Number : 1700401211818
Online Shopping App
Online Grocery Shopping
Daraz Exclusive
How to shop on Daraz
Pak Vs Aus
Ramadan Daraz Se"
7,"Core 2 Due Mixed laptop ,4Gb ram 250 GB Hard drive",Brand: No BrandMore Refurbished from No Brand,"Rs. 16,000
Rs. 20,000-20%","                Computers & Laptops Refurbished Refurbished Laptops Core 2 Due Mixed laptop ,4Gb ram 250 GB Hard drive Help Center
How to Buy
Corporate & Bulk Purchasing
Returns & Refunds
Daraz Shop
Contact Us
Purchase Protection
Daraz Pick up Points
Fulfilled by Daraz (FBD) Daraz University
Sell on Daraz
Join Daraz Affiliate Program  About Us
Digital Payments
Daraz Cares
Daraz Blog
Terms & Conditions
Privacy Policy
NTN Number : 4012118-6
STRN Number : 1700401211818
Online Shopping App
Online Grocery Shopping
Daraz Exclusive
How to shop on Daraz
Pak Vs Aus
Ramadan Daraz Se"
8,LENOVO THINKPAD LAPTOP REPLACEMENT MOTHERBOARD T420 T420I,Brand: No BrandMore Refurbished from No Brand,"Rs. 6,500
Rs. 10,000-35%","                Computers & Laptops Refurbished Refurbished Laptops LENOVO THINKPAD LAPTOP REPLACEMENT MOTHERBOARD T420 T420I Help Center
How to Buy
Corporate & Bulk Purchasing
Returns & Refunds
Daraz Shop
Contact Us
Purchase Protection
Daraz Pick up Points
Fulfilled by Daraz (FBD) Daraz University
Sell on Daraz
Join Daraz Affiliate Program  About Us
Digital Payments
Daraz Cares
Daraz Blog
Terms & Conditions
Privacy Policy
NTN Number : 4012118-6
STRN Number : 1700401211818
Online Shopping App
Online Grocery Shopping
Daraz Exclusive
How to shop on Daraz
Pak Vs Aus
Ramadan Daraz Se"
9,LENOVO THINKPAD LAPTOP REPLACEMENT MOTHERBOARD T420 T420I,Brand: No BrandMore Refurbished from No Brand,"Rs. 6,500
Rs. 10,000-35%","                Computers & Laptops Refurbished Refurbished Laptops LENOVO THINKPAD LAPTOP REPLACEMENT MOTHERBOARD T420 T420I Help Center
How to Buy
Corporate & Bulk Purchasing
Returns & Refunds
Daraz Shop
Contact Us
Purchase Protection
Daraz Pick up Points
Fulfilled by Daraz (FBD) Daraz University
Sell on Daraz
Join Daraz Affiliate Program  About Us
Digital Payments
Daraz Cares
Daraz Blog
Terms & Conditions
Privacy Policy
NTN Number : 4012118-6
STRN Number : 1700401211818
Online Shopping App
Online Grocery Shopping
Daraz Exclusive
How to shop on Daraz
Pak Vs Aus
Ramadan Daraz Se"
