,0,1,2,3
0,"HP EliteBook 840 G3 - 14” HD, Intel Core i5-6200U 2.4Ghz, 6th Gen | 8GB DDR4 Ram | 128GB SSD + 500GB HDD | Windows 10 Pro 64bit","Brand: HPMore Laptops from HP
Free Shipping","Rs. 56,999
Rs. 80,000-29%","                Computers & Laptops Laptops Traditional Laptops HP EliteBook 840 G3 - 14” HD, Intel Core i5-6200U 2.4Ghz, 6th Gen | 8GB DDR4 Ram | 128GB SSD + 500GB HDD | Windows 10 Pro 64bit Help Center
How to Buy
Corporate & Bulk Purchasing
Returns & Refunds
Daraz Shop
Contact Us
Purchase Protection
Daraz Pick up Points
Fulfilled by Daraz (FBD) Daraz University
Sell on Daraz
Join Daraz Affiliate Program  About Us
Digital Payments
Daraz Cares
Daraz Blog
Terms & Conditions
Privacy Policy
NTN Number : 4012118-6
STRN Number : 1700401211818
Online Shopping App
Online Grocery Shopping
Daraz Exclusive
How to shop on Daraz
Pak Vs Aus
Ramadan Daraz Se"
1,"HP EliteBook 840 G3 - 14” HD, Intel Core i5-6200U 2.4Ghz, 6th Gen | 8GB DDR4 Ram | 128GB SSD + 500GB HDD | Windows 10 Pro 64bit","Brand: HPMore Laptops from HP
Free Shipping","Rs. 56,999
Rs. 80,000-29%","                Computers & Laptops Laptops Traditional Laptops HP EliteBook 840 G3 - 14” HD, Intel Core i5-6200U 2.4Ghz, 6th Gen | 8GB DDR4 Ram | 128GB SSD + 500GB HDD | Windows 10 Pro 64bit Help Center
How to Buy
Corporate & Bulk Purchasing
Returns & Refunds
Daraz Shop
Contact Us
Purchase Protection
Daraz Pick up Points
Fulfilled by Daraz (FBD) Daraz University
Sell on Daraz
Join Daraz Affiliate Program  About Us
Digital Payments
Daraz Cares
Daraz Blog
Terms & Conditions
Privacy Policy
NTN Number : 4012118-6
STRN Number : 1700401211818
Online Shopping App
Online Grocery Shopping
Daraz Exclusive
How to shop on Daraz
Pak Vs Aus
Ramadan Daraz Se"
2,i-Life Zed Book-II - 2 in 1 Detachable - 11.6 FHD Touch Display - Intel® Atom Quad Core processor - Intel® HD 400 - Windows® 10 - Silver,Brand: No BrandMore Laptops from No Brand,"Rs. 19,999
Rs. 45,000-56%","                Computers & Laptops Laptops Traditional Laptops i-Life Zed Book-II - 2 in 1 Detachable - 11.6 FHD Touch Display - Intel® Atom Quad Core processor - Intel® HD 400 - Windows® 10 - Silver Help Center
How to Buy
Corporate & Bulk Purchasing
Returns & Refunds
Daraz Shop
Contact Us
Purchase Protection
Daraz Pick up Points
Fulfilled by Daraz (FBD) Daraz University
Sell on Daraz
Join Daraz Affiliate Program  About Us
Digital Payments
Daraz Cares
Daraz Blog
Terms & Conditions
Privacy Policy
NTN Number : 4012118-6
STRN Number : 1700401211818
Online Shopping App
Online Grocery Shopping
Daraz Exclusive
How to shop on Daraz
Pak Vs Aus
Ramadan Daraz Se"
3,i-Life Zed Book-II - 2 in 1 Detachable - 11.6 FHD Touch Display - Intel® Atom Quad Core processor - Intel® HD 400 - Windows® 10 - Silver,Brand: No BrandMore Laptops from No Brand,"Rs. 19,999
Rs. 45,000-56%","                Computers & Laptops Laptops Traditional Laptops i-Life Zed Book-II - 2 in 1 Detachable - 11.6 FHD Touch Display - Intel® Atom Quad Core processor - Intel® HD 400 - Windows® 10 - Silver Help Center
How to Buy
Corporate & Bulk Purchasing
Returns & Refunds
Daraz Shop
Contact Us
Purchase Protection
Daraz Pick up Points
Fulfilled by Daraz (FBD) Daraz University
Sell on Daraz
Join Daraz Affiliate Program  About Us
Digital Payments
Daraz Cares
Daraz Blog
Terms & Conditions
Privacy Policy
NTN Number : 4012118-6
STRN Number : 1700401211818
Online Shopping App
Online Grocery Shopping
Daraz Exclusive
How to shop on Daraz
Pak Vs Aus
Ramadan Daraz Se"
4,Lenovo Ideapad 330 - Intel Celeron N4000 - 15.6 HD Laptop - 4GB RAM - 1TB HDD - DOS - 1 Year Lenovo Official Warranty,Brand: LenovoMore Laptops from Lenovo,"Rs. 61,999
Rs. 75,000-17%","                Computers & Laptops Laptops Traditional Laptops Lenovo Ideapad 330 - Intel Celeron N4000 - 15.6 HD Laptop - 4GB RAM - 1TB HDD - DOS - 1 Year Lenovo Official Warranty Help Center
How to Buy
Corporate & Bulk Purchasing
Returns & Refunds
Daraz Shop
Contact Us
Purchase Protection
Daraz Pick up Points
Fulfilled by Daraz (FBD) Daraz University
Sell on Daraz
Join Daraz Affiliate Program  About Us
Digital Payments
Daraz Cares
Daraz Blog
Terms & Conditions
Privacy Policy
NTN Number : 4012118-6
STRN Number : 1700401211818
Online Shopping App
Online Grocery Shopping
Daraz Exclusive
How to shop on Daraz
Pak Vs Aus
Ramadan Daraz Se"
5,Lenovo Ideapad 330 - Intel Celeron N4000 - 15.6 HD Laptop - 4GB RAM - 1TB HDD - DOS - 1 Year Lenovo Official Warranty,Brand: LenovoMore Laptops from Lenovo,"Rs. 61,999
Rs. 75,000-17%","                Computers & Laptops Laptops Traditional Laptops Lenovo Ideapad 330 - Intel Celeron N4000 - 15.6 HD Laptop - 4GB RAM - 1TB HDD - DOS - 1 Year Lenovo Official Warranty Help Center
How to Buy
Corporate & Bulk Purchasing
Returns & Refunds
Daraz Shop
Contact Us
Purchase Protection
Daraz Pick up Points
Fulfilled by Daraz (FBD) Daraz University
Sell on Daraz
Join Daraz Affiliate Program  About Us
Digital Payments
Daraz Cares
Daraz Blog
Terms & Conditions
Privacy Policy
NTN Number : 4012118-6
STRN Number : 1700401211818
Online Shopping App
Online Grocery Shopping
Daraz Exclusive
How to shop on Daraz
Pak Vs Aus
Ramadan Daraz Se"
6,"VOSTRO 15 3500 11TH GEN I3-1115G4 INTEL UHD GRAPHICS 15"" FHD (1920 X 1080) ANTI GLARE NON-TOUCH LED 4GB (1X4GB) 1TB (5,400 RPM) HDD BLACK PALMREST WITHOUT FPR BLACK",Brand: DellMore Laptops from Dell,"Rs. 79,499
Rs. 118,000-33%","                Computers & Laptops Laptops Traditional Laptops VOSTRO 15 3500 11TH GEN I3-1115G4 INTEL UHD GRAPHICS 15"" FHD (1920 X 1080) ANTI GLARE NON-TOUCH LED 4GB (1X4GB) 1TB (5,400 RPM) HDD BLACK PALMREST WITHOUT FPR BLACK Help Center
How to Buy
Corporate & Bulk Purchasing
Returns & Refunds
Daraz Shop
Contact Us
Purchase Protection
Daraz Pick up Points
Fulfilled by Daraz (FBD) Daraz University
Sell on Daraz
Join Daraz Affiliate Program  About Us
Digital Payments
Daraz Cares
Daraz Blog
Terms & Conditions
Privacy Policy
NTN Number : 4012118-6
STRN Number : 1700401211818
Online Shopping App
Online Grocery Shopping
Daraz Exclusive
How to shop on Daraz
Pak Vs Aus
Ramadan Daraz Se"
7,"VOSTRO 15 3500 11TH GEN I3-1115G4 INTEL UHD GRAPHICS 15"" FHD (1920 X 1080) ANTI GLARE NON-TOUCH LED 4GB (1X4GB) 1TB (5,400 RPM) HDD BLACK PALMREST WITHOUT FPR BLACK",Brand: DellMore Laptops from Dell,"Rs. 79,499
Rs. 118,000-33%","                Computers & Laptops Laptops Traditional Laptops VOSTRO 15 3500 11TH GEN I3-1115G4 INTEL UHD GRAPHICS 15"" FHD (1920 X 1080) ANTI GLARE NON-TOUCH LED 4GB (1X4GB) 1TB (5,400 RPM) HDD BLACK PALMREST WITHOUT FPR BLACK    "
8,"Lenovo IP3 15 Celeron N4020, 4GB RAM , 1TB HDD,15.6 Led ,Dos Grey",Brand: LenovoMore Laptops from Lenovo,"Rs. 62,499
Rs. 75,999-18%","                Computers & Laptops Laptops Traditional Laptops Lenovo IP3 15 Celeron N4020, 4GB RAM , 1TB HDD,15.6 Led ,Dos Grey Help Center
How to Buy
Corporate & Bulk Purchasing
Returns & Refunds
Daraz Shop
Contact Us
Purchase Protection
Daraz Pick up Points
Fulfilled by Daraz (FBD) Daraz University
Sell on Daraz
Join Daraz Affiliate Program  About Us
Digital Payments
Daraz Cares
Daraz Blog
Terms & Conditions
Privacy Policy
NTN Number : 4012118-6
STRN Number : 1700401211818
Online Shopping App
Online Grocery Shopping
Daraz Exclusive
How to shop on Daraz
Pak Vs Aus
Ramadan Daraz Se"
9,"Lenovo IP3 15 Celeron N4020, 4GB RAM , 1TB HDD,15.6 Led ,Dos Grey",Brand: LenovoMore Laptops from Lenovo,"Rs. 62,499
Rs. 75,999-18%","                Computers & Laptops Laptops Traditional Laptops Lenovo IP3 15 Celeron N4020, 4GB RAM , 1TB HDD,15.6 Led ,Dos Grey Help Center
How to Buy
Corporate & Bulk Purchasing
Returns & Refunds
Daraz Shop
Contact Us
Purchase Protection
Daraz Pick up Points
Fulfilled by Daraz (FBD) Daraz University
Sell on Daraz
Join Daraz Affiliate Program  About Us
Digital Payments
Daraz Cares
Daraz Blog
Terms & Conditions
Privacy Policy
NTN Number : 4012118-6
STRN Number : 1700401211818
Online Shopping App
Online Grocery Shopping
Daraz Exclusive
How to shop on Daraz
Pak Vs Aus
Ramadan Daraz Se"
